,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,months,hours,week_days,HI
0,4,0,0,1,9.84,14.395,81,0.0,3,13,16,1,0,6,9.84
1,4,0,0,1,9.02,13.635,80,0.0,8,32,40,1,1,6,9.02
2,4,0,0,1,9.02,13.635,80,0.0,5,27,32,1,2,6,9.02
3,4,0,0,1,9.84,14.395,75,0.0,3,10,13,1,3,6,9.84
4,4,0,0,1,9.84,14.395,75,0.0,0,1,1,1,4,6,9.84
5,4,0,0,2,9.84,12.88,75,6.0032,0,1,1,1,5,6,9.84
6,4,0,0,1,9.02,13.635,80,0.0,2,0,2,1,6,6,9.02
7,4,0,0,1,8.2,12.88,86,0.0,1,2,3,1,7,6,8.2
8,4,0,0,1,9.84,14.395,75,0.0,1,7,8,1,8,6,9.84
9,4,0,0,1,13.12,17.425,76,0.0,8,6,14,1,9,6,13.12
10,4,0,0,1,15.58,19.695,76,16.9979,12,24,36,1,10,6,15.58
11,4,0,0,1,14.76,16.665,81,19.0012,26,30,56,1,11,6,14.76
12,4,0,0,1,17.22,21.21,77,19.0012,29,55,84,1,12,6,17.22
13,4,0,0,2,18.86,22.725,72,19.9995,47,47,94,1,13,6,18.86
14,4,0,0,2,18.86,22.725,72,19.0012,35,71,106,1,14,6,18.86
15,4,0,0,2,18.04,21.97,77,19.9995,40,70,110,1,15,6,18.04
16,4,0,0,2,17.22,21.21,82,19.9995,41,52,93,1,16,6,17.22
17,4,0,0,2,18.04,21.97,82,19.0012,15,52,67,1,17,6,18.04
18,4,0,0,3,17.22,21.21,88,16.9979,9,26,35,1,18,6,17.22
19,4,0,0,3,17.22,21.21,88,16.9979,6,31,37,1,19,6,17.22
20,4,0,0,2,16.4,20.455,87,16.9979,11,25,36,1,20,6,16.4
21,4,0,0,2,16.4,20.455,87,12.998,3,31,34,1,21,6,16.4
22,4,0,0,2,16.4,20.455,94,15.0013,11,17,28,1,22,6,16.4
23,4,0,0,2,18.86,22.725,88,19.9995,15,24,39,1,23,6,18.86
24,4,0,0,2,18.86,22.725,88,19.9995,4,13,17,1,0,7,18.86
25,4,0,0,2,18.04,21.97,94,16.9979,1,16,17,1,1,7,18.04
26,4,0,0,2,17.22,21.21,100,19.0012,1,8,9,1,2,7,17.22
27,4,0,0,2,18.86,22.725,94,12.998,2,4,6,1,3,7,18.86
28,4,0,0,2,18.86,22.725,94,12.998,2,1,3,1,4,7,18.86
29,4,0,0,3,17.22,21.21,77,19.9995,0,2,2,1,6,7,17.22
30,4,0,0,2,16.4,20.455,76,12.998,0,1,1,1,7,7,16.4
31,4,0,0,3,16.4,20.455,71,15.0013,0,8,8,1,8,7,16.4
32,4,0,0,2,15.58,19.695,76,15.0013,1,19,20,1,9,7,15.58
33,4,0,0,2,14.76,17.425,81,15.0013,7,46,53,1,10,7,14.76
34,4,0,0,2,14.76,16.665,71,16.9979,16,54,70,1,11,7,14.76
35,4,0,0,2,14.76,16.665,66,19.9995,20,73,93,1,12,7,14.76
36,4,0,0,2,14.76,17.425,66,8.9981,11,64,75,1,13,7,14.76
37,4,0,0,3,14.76,17.425,76,12.998,4,55,59,1,14,7,14.76
38,4,0,0,3,13.94,16.665,81,11.0014,19,55,74,1,15,7,13.94
39,4,0,0,3,13.94,16.665,71,11.0014,9,67,76,1,16,7,13.94
40,4,0,0,1,13.94,16.665,57,12.998,7,58,65,1,17,7,13.94
41,4,0,0,2,14.76,16.665,46,22.0028,10,43,53,1,18,7,14.76
42,4,0,0,1,13.12,14.395,42,30.0026,1,29,30,1,19,7,13.12
43,4,0,0,1,12.3,13.635,39,23.9994,5,17,22,1,20,7,12.3
44,4,0,0,1,10.66,11.365,44,22.0028,11,20,31,1,21,7,10.66
45,4,0,0,1,9.84,10.605,44,19.9995,0,9,9,1,22,7,9.84
46,4,0,0,1,9.02,11.365,47,11.0014,0,8,8,1,23,7,9.02
47,4,0,1,1,9.02,9.85,44,23.9994,0,5,5,1,0,1,9.02
48,4,0,1,1,8.2,8.335,44,27.9993,0,2,2,1,1,1,8.2
49,4,0,1,1,6.56,6.82,47,26.0027,0,1,1,1,4,1,6.56
50,4,0,1,1,6.56,6.82,47,19.0012,0,3,3,1,5,1,6.56
51,4,0,1,1,5.74,5.305,50,26.0027,0,30,30,1,6,1,5.74
52,4,0,1,1,5.74,6.82,50,12.998,1,63,64,1,7,1,5.74
53,4,0,1,1,5.74,6.06,50,19.0012,1,153,154,1,8,1,5.74
54,4,0,1,1,6.56,6.82,43,26.0027,7,81,88,1,9,1,6.56
55,4,0,1,1,7.38,8.335,43,16.9979,11,33,44,1,10,1,7.38
56,4,0,1,1,8.2,9.09,40,22.0028,10,41,51,1,11,1,8.2
57,4,0,1,1,9.02,10.605,35,19.9995,13,48,61,1,12,1,9.02
58,4,0,1,1,9.84,10.605,35,19.0012,8,53,61,1,13,1,9.84
59,4,0,1,1,10.66,12.12,30,19.0012,11,66,77,1,14,1,10.66
60,4,0,1,1,10.66,12.12,30,16.9979,14,58,72,1,15,1,10.66
61,4,0,1,1,10.66,12.12,30,16.9979,9,67,76,1,16,1,10.66
62,4,0,1,1,9.84,11.365,30,15.0013,11,146,157,1,17,1,9.84
63,4,0,1,1,9.84,12.88,32,7.0015,9,148,157,1,18,1,9.84
64,4,0,1,1,8.2,12.88,47,0.0,8,102,110,1,19,1,8.2
65,4,0,1,1,8.2,11.365,47,7.0015,3,49,52,1,20,1,8.2
66,4,0,1,1,7.38,9.85,64,8.9981,3,49,52,1,21,1,7.38
